device_name,logical_name,item,stats_type,value,och,center_frequency,och_group,time,side,pn
T3,/1/1/L1,preFecBer,instant,0.00196,1,191400000,1,2000/1/1 02:00,Z,ot1
T3,/1/3/L1,preFecBer,instant,0.0024,2,191600000,1,2000/1/1 02:00,Z,ot1
T3,/1/5/L1,preFecBer,instant,0.00274,3,191800000,1,2000/1/1 02:00,Z,ot1
T3,/1/1/L1,preFecBer,max,0.00204,1,191400000,1,2000/1/1 02:00,Z,ot1
T3,/1/3/L1,preFecBer,max,0.00249,2,191600000,1,2000/1/1 02:00,Z,ot1
T3,/1/5/L1,preFecBer,max,0.00296,3,191800000,1,2000/1/1 02:00,Z,ot1
T3,/1/1/L1,preFecBer,min,0.00192,1,191400000,1,2000/1/1 02:00,Z,ot1
T3,/1/3/L1,preFecBer,min,0.00236,2,191600000,1,2000/1/1 02:00,Z,ot1
T3,/1/5/L1,preFecBer,min,0.0027,3,191800000,1,2000/1/1 02:00,Z,ot1
T4,/1/1/L1,preFecBer,avg,2.73E-05,6,191500000,2,2000/1/1 02:00,Z,ot1
T4,/1/2/L1,preFecBer,avg,2.93E-05,4,191700000,2,2000/1/1 02:00,Z,ot1
T4,/1/3/L1,preFecBer,avg,1.91E-05,5,191900000,2,2000/1/1 02:00,Z,ot1
T4,/1/1/L1,preFecBer,instant,2.68E-05,6,191500000,2,2000/1/1 02:00,Z,ot1
T4,/1/2/L1,preFecBer,instant,2.88E-05,4,191700000,2,2000/1/1 02:00,Z,ot1
T4,/1/3/L1,preFecBer,instant,1.84E-05,5,191900000,2,2000/1/1 02:00,Z,ot1
T4,/1/1/L1,preFecBer,max,2.88E-05,6,191500000,2,2000/1/1 02:00,Z,ot1
T4,/1/2/L1,preFecBer,max,3.03E-05,4,191700000,2,2000/1/1 02:00,Z,ot1
T4,/1/3/L1,preFecBer,max,2.03E-05,5,191900000,2,2000/1/1 02:00,Z,ot1
T4,/1/1/L1,preFecBer,min,2.54E-05,6,191500000,2,2000/1/1 02:00,Z,ot1
T4,/1/2/L1,preFecBer,min,2.83E-05,4,191700000,2,2000/1/1 02:00,Z,ot1
T4,/1/3/L1,preFecBer,min,1.79E-05,5,191900000,2,2000/1/1 02:00,Z,ot1
T1,/1/4/L1,preFecBer,avg,5.75E-05,2,191600000,1,2000/1/1 02:00,A,ot1
T1,/1/6/L1,preFecBer,avg,6.29E-05,1,191400000,1,2000/1/1 02:00,A,ot1
T1,/1/4/L1,preFecBer,instant,5.72E-05,2,191600000,1,2000/1/1 02:00,A,ot1
T1,/1/6/L1,preFecBer,instant,6.18E-05,1,191400000,1,2000/1/1 02:00,A,ot1
T1,/1/4/L1,preFecBer,max,5.90E-05,2,191600000,1,2000/1/1 02:00,A,ot1
T1,/1/6/L1,preFecBer,max,6.59E-05,1,191400000,1,2000/1/1 02:00,A,ot1
T1,/1/4/L1,preFecBer,min,5.55E-05,2,191600000,1,2000/1/1 02:00,A,ot1
T1,/1/6/L1,preFecBer,min,6.11E-05,1,191400000,1,2000/1/1 02:00,A,ot1
T2,/1/1/L1,preFecBer,avg,5.10E-05,3,191800000,1,2000/1/1 02:00,A,ot1
T2,/1/1/L1,preFecBer,instant,5.02E-05,3,191800000,1,2000/1/1 02:00,A,ot1
T2,/1/1/L1,preFecBer,max,5.31E-05,3,191800000,1,2000/1/1 02:00,A,ot1
T2,/1/1/L1,preFecBer,min,4.85E-05,3,191800000,1,2000/1/1 02:00,A,ot1
T3,/1/2/L1,preFecBer,avg,0.000846,6,191500000,2,2000/1/1 02:00,A,ot1
T3,/1/4/L1,preFecBer,avg,0.000995,4,191700000,2,2000/1/1 02:00,A,ot1
T3,/1/6/L1,preFecBer,avg,0.000596,5,191900000,2,2000/1/1 02:00,A,ot1
T3,/1/2/L1,preFecBer,instant,0.000839,6,191500000,2,2000/1/1 02:00,A,ot1
T3,/1/4/L1,preFecBer,instant,0.000993,4,191700000,2,2000/1/1 02:00,A,ot1
T3,/1/6/L1,preFecBer,instant,0.000588,5,191900000,2,2000/1/1 02:00,A,ot1
T3,/1/2/L1,preFecBer,max,0.000895,6,191500000,2,2000/1/1 02:00,A,ot1
T3,/1/4/L1,preFecBer,max,0.00103,4,191700000,2,2000/1/1 02:00,A,ot1
T3,/1/6/L1,preFecBer,max,0.000614,5,191900000,2,2000/1/1 02:00,A,ot1
T3,/1/2/L1,preFecBer,min,0.000816,6,191500000,2,2000/1/1 02:00,A,ot1
T3,/1/4/L1,preFecBer,min,0.00095,4,191700000,2,2000/1/1 02:00,A,ot1
